REFNO	NAME	NAMEORDER
10031	Metzler M	12
10031	Teigler-Schlegel A	9
10031	Wilda M	8
10032	Bell SM	16
10032	Bonthron DT	19
10032	Carr IM	13
10032	Hodge D	15
10032	Horgan K	18
10032	Leek JP	14
10032	MacLennan KA	22
10032	Markham AF	21
10032	Rajgopal A	12
10032	Roberts P	17
10032	Selby PJ	20
10033	Corzo C	8
10033	Espinet B	9
10033	Iglesias M	12
10033	Lloreta J	10
10033	Salido M	11
10033	Serrano S	13
10033	Sole F	14
10034	Berger R	1
10034	Busson-Le Coniat M	2
10035	Back H	12
10035	Bram S	7
10035	ogard I	11
10035	Rodjer S	9
10035	Stockelberg D	10
10035	Swolin B	8
10036	Dobos M	15
10036	Fekete G	16
10036	Haltrich I	9
10036	Koos R	13
10036	Kovacs G	12
10036	Muller J	10
10036	Poros A	14
10036	Szabo J	11
10037	Baker A	11
10037	Czepulkowski B	10
10037	Fasan O	8
10037	Mufti GJ	14
10037	Rees D	12
10037	Salisbury J	13
10037	Willmott C	9
10038	Bridge JA	12
10038	Ginsburg G	9
10038	Neff JR	11
10038	Nelson M	7
10038	Perry D	8
10038	Sanger WG	10
10039	Cerda-Nicolas M	8
10039	Collado M	9
10039	Gregori-Romero MA	6
10039	Llombart-Bosch A	10
10039	Lopez-Gines C	7
1003	Buchanan GR	2
1003	Howard-Peebles PN	3
1003	Rutledge J	4
1003	Smith RG	5
1003	Sonnier JA	1
10040	Calasanz MJ	9
10040	Carlson K	7
10040	Lahortiga I	8
10040	Odero MD	6
10040	Rowley JD	10
10041	Feller A	17
10041	Fetscher S	20
10041	Gesk S	12
10041	Grote W	18
10041	Harder L	11
10041	Hochhaus A	15
10041	Maass E	16
10041	Martin-Subero JI	13
10041	Merz H	14
10041	Siebert R	19
10042	Han K-H	9
10042	Kim D-K	6
10042	Kim H-T	8
10042	Kim J-Y	7
10042	Shon D-G	10
10043	Dorner S	6
10043	Fonatsch C	8
10043	Hinterberger W	7
10043	Okhowat R	5
10044	Lau GTC	4
10044	So CC	3
10044	Wong KF	1
10044	Yeung YM	5
10044	Yip SF	2
10045	Brothman A	13
10045	Chen Z	9
10045	Coffin CM	10
10045	Hong B	8
10045	Issa B	12
10045	Lemons R	11
10045	Zhou H	14
10046	Anderson WD	6
10046	Fredenberg C	7
10046	Hashimoto H	8
10046	Sandberg AA	5
10047	Hisakawa H	10
10047	Maeda A	9
10047	Ohtsuki Y	14
10047	Sonobe H	13
10047	Takechi T	8
10047	Takeuchi T	12
10047	Wakiguchi H	11
10048	Fujisawa K	14
10048	Iida M	18
10048	Jo Y	13
10048	Matsumoto T	11
10048	Nakamura S	10
10048	Nakamura S	12
10048	Suekane H	15
10048	Tsuneyoshi M	17
10048	Yao T	16
10049	Ahmed Q	2
10049	Lau LC	5
10049	Ng SB	1
10049	Sivaswaren C	4
10049	Tien SL	3
1004	Becroft DMO	1
1004	Pearson A	2
1004	Shaw RL	3
1004	Zwi LJ	4
10050	Aul C	18
10050	Balleisen L	15
10050	Buchner T	24
10050	Eimermacher H	14
10050	Fonatsch C	7
10050	Gassmann W	4
10050	Gruneisen A	16
10050	Haase D	17
10050	Haferlach T	1
10050	Heinecke A	22
10050	Hiddemann W	25
10050	Karow J	19
10050	Kern W	5
10050	Kubica U	13
10050	Lengfelder E	20
10050	Loffler H	3
10050	Ludwig W-D	8
10050	Reichle A	12
10050	Sauerland MC	23
10050	Schlegelberger B	10
10050	Schnittger S	6
10050	Schoch C	2
10050	Staib P	11
10050	Wormann B	21
10050	Wuchter C	9
10051	Bayoumy M	7
10051	Jamil A	9
10051	Kahwash S	10
10051	Klopfenstein K	11
10051	Ruymann F	12
10051	Wynn T	8
10052	Billstrom R	4
10052	Fioretos T	5
10052	Johansson B	7
10052	Kuric N	3
10052	Lassen C	2
10052	Paulsson K	1
10052	Tanke HJ	6
10053	Cheung L	11
10053	Clarkson A	14
10053	Clifton-Bligh R	19
10053	Delbridge L	16
10053	Gill A	13
10053	Learoyd D	15
10053	Messina M	12
10053	Philips J	18
10053	Robinson BG	20
10053	Wentworth J	17
10054	Hoglund M	2
10054	Johansson B	8
10054	Lenhoff S	3
10054	Mitelman F	7
10054	Nilsson T	1
10054	Rylander L	4
10054	Turesson I	5
10054	Westin J	6
10055	Colecchia M	6
10055	Dagrada G	7
10055	Messina A	9
10055	Pilotti S	10
10055	Poliani PL	8
10056	Aldosari NM	12
10056	Batanian JR	10
10056	Cavalli LR	11
10056	Haddad BR	18
10056	Ma E	13
10056	Ramos MB	15
10056	Rone JD	16
10056	Sotelo-Avila C	14
10056	Thorpe CM	17
10057	Benetti MRN	7
10057	Biazus JV	11
10057	Bittelbrunn AC	9
10057	Frantz B	10
10057	Giugliani R	12
10057	Kessler RG	8
10058	Coffin CM	8
10058	Hu P	6
10058	Meyer LJ	7
10058	Smith LM	5
10059	Chen P-M	9
10059	Chiou T-J	7
10059	Hsieh Y-L	8
10059	Hung G-Y	6
10059	Hwang B	10
1005	Andres TL	3
1005	Corwin DJ	1
1005	Kadin ME	2
10060	Biondi A	17
10060	Feingold J	19
10060	Hahlen K	15
10060	Huismans DR	14
10060	Jurgens H	13
10060	Kaspers GJL	20
10060	Reinhardt D	12
10060	Smith OP	16
10060	van Wering ER	18
10060	Zwaan ChM	11
10061	Demuynck H	8
10061	Hagemeijer A	12
10061	Martiat P	9
10061	Meeus P	7
10061	Michaux L	10
10061	Wouters E	11
10062	Berger U	13
10062	Haferlach T	10
10062	Hehlmann R	14
10062	Hiddemann W	15
10062	Hochhaus A	16
10062	Kern W	11
10062	Schnittger S	12
10062	Schoch C	9
10063	Bryant S	19
10063	Debes-Marun CS	17
10063	Dewald GW	18
10063	Dispenzieri A	27
10063	Fonseca R	32
10063	Gertz MA	25
10063	Gonzalez-Paz N	22
10063	Greipp PR	31
10063	Kyle RA	24
10063	Lacy MQ	28
10063	Lust JA	30
10063	Picken E	20
10063	Rajkumar SV	29
10063	Santana-Davila R	21
10063	Winkler JM	23
10063	Witzig TE	26
10064	Appaji L	6
10064	Madhumathi DS	5
10064	Sundareshan TS	4
10065	Belch AR	7
10065	Keats JJ	1
10065	Larratt LM	5
10065	Mant MJ	6
10065	Maxwell CA	3
10065	Pilarski LM	8
10065	Reiman T	2
10065	Taylor BJ	4
10066	Karlic H	8
10066	Lohninger A	11
10066	Nosslinger T	9
10066	Pfeilstocker M	7
10066	Pittermann E	12
10066	Tuchler H	10
10067	Berdel W	18
10067	Buchner T	19
10067	Gassmann W	15
10067	Haferlach T	12
10067	Heinecke A	16
10067	Hiddemann W	20
10067	Kern W	11
10067	Loffler H	14
10067	Sauerland MC	17
10067	Schoch C	13
10068	Arlinghaus R	25
10068	Bochinski K	24
10068	Cortes JE	15
10068	Faderl S	19
10068	Garcia-Manero G	18
10068	Giles F	17
10068	Jeha S	21
10068	Kantarjian HM	14
10068	Letvak L	23
10068	O'Brien S	16
10068	Rios MB	22
10068	Talpaz M	26
10068	Thomas D	20
10069	Abbrederis K	13
10069	Apfelbeck U	3
10069	Baldinger C	14
10069	Buder R	15
10069	Burgstaller S	2
10069	Duba C	20
10069	Eisterer W	22
10069	Fiegl M	23
10069	Fridrik M	6
10069	Gastl G	25
10069	Geissler D	16
10069	Greil R	24
10069	Hausmaninger H	17
10069	Hilbe W	21
10069	Kock L	12
10069	Krieger O	8
10069	Kuhr T	1
10069	Lang A	18
10069	Linkesch W	4
10069	Lin W	10
10069	Lutz D	9
10069	Michlmayr G	7
10069	Pont J	11
10069	Seewann H	5
10069	Thaler J	26
10069	Zabernigg A	19
1006	Ascari E	10
1006	Bergamaschi G	3
1006	Burgio VL	4
1006	Cazzola M	2
1006	Dezza L	1
1006	Fenoglio C	6
1006	Ghizzi A	7
1006	Nalli G	8
1006	Sacchi F	9
1006	Stella CC	5
10070	Amant F	7
10070	Cadron I	9
10070	Debiec-Rychter M	12
10070	Hagemeijer A	10
10070	Moerman P	8
10070	Vergote I	11
10071	Goldberg SL	7
10071	Hsu JW	11
10071	Madan RA	8
10071	Pecora AL	10
10071	Rowley SD	9
10071	Tantravahi R	12
10072	Bolanos-Meade J	9
10072	Buddharaju LN	15
10072	Chen TT	16
10072	Guo C	11
10072	Karp JE	10
10072	Rapoport AP	13
10072	Sarkodee-Adoo CB	12
10072	Tidwell ML	14
10073	Marinakis T	15
10073	Papaioannou M	13
10073	Sakellari I	17
10073	Skandali A	16
10073	Stavroyianni N	11
10073	Tiniakou M	14
10073	Tsimberidou A-M	10
10073	Viniou N	12
10073	Yataganas X	18
10074	Cortes JE	16
10074	Faderl SH	20
10074	Ferrajoli A	22
10074	Freireich EJ	25
10074	Giles FJ	18
10074	Kantarjian HM	14
10074	Keating MJ	24
10074	O'Brien S	15
10074	Rios MB	19
10074	Shan J	17
10074	Talpaz M	26
10074	Verstovsek S	23
10074	Wierda WG	21
10075	Chhanabhai M	19
10075	Connors JM	21
10075	Gascoyne RD	22
10075	Gesk S	17
10075	Harder L	16
10075	Horsman DE	12
10075	Le N	15
10075	Ludkovski O	14
10075	Okamoto I	13
10075	Sehn L	20
10075	Siebert R	18
10076	Byrd JC	8
10076	Flinn IW	11
10076	Hackbarth ML	10
10076	Heerema NA	14
10076	Proffitt JH	13
10076	Smith L	9
10076	Young D	12
10077	Baccarani M	5
10077	Bolton AE	23
10077	Capdeville R	24
10077	Cervantes F	6
10077	Cornelissen JJ	7
10077	Druker BJ	25
10077	Fischer T	8
10077	Gathmann I	4
10077	Goldman JM	19
10077	Gratwohl A	18
10077	Guilhot F	2
10077	Hochhaus A	9
10077	Hughes T	10
10077	Kantarjian H	20
10077	Larson RA	3
10077	Lechner K	11
10077	Nielsen JL	12
10077	O'Brien SG	1
10077	Reiffers J	14
10077	Rousselot P	13
10077	Saglio G	15
10077	Shepherd J	16
10077	Simonsson B	17
10077	Taylor K	21
10077	Verhoef G	22
10078	Austin N	6
